customer_id,name,email,country,join_date,loyalty_points,is_premium,age,gender,membership_years,loyalty_level,age_group,new_customer,valid_email
C001,Norma Fisher,ysullivan@yahoo.com,Lesotho,2023-10-31,864,False,66,Female,1.5,Gold,Senior,False,True
C002,Susan Wagner,katelynmontgomery@yahoo.com,United States of America,2024-07-28,41,False,50,Female,0.7,Bronze,Mid-Age,False,True
C003,Dr. Stephanie Collins,thomas15@stewart-bowman.com,Mexico,2024-05-03,414,False,48,Female,1.0,Silver,Mid-Age,False,True
C004,Joseph Brown,cortezraymond@garrett.com,Ecuador,2023-09-10,597,True,50,Male,1.6,Silver,Mid-Age,False,True
C005,Amy Stark,lindathomas@west.net,Venezuela,2024-05-22,288,True,66,Male,0.9,Silver,Senior,False,True
C006,Juan Mann,tamaramorrison@hotmail.com,France,2024-03-14,633,False,52,Other,1.1,Gold,Mid-Age,False,True
C007,Robert Stewart,ivan20@zavala.com,Turkey,2022-12-11,829,True,37,Male,2.4,Gold,Adult,False,True
C008,Sarah Villanueva,aimee33@hotmail.com,Myanmar,2024-02-03,747,True,61,Female,1.2,Gold,Senior,False,True
C009,Joanne Keller,nguyendarrell@hotmail.com,Niue,2023-09-25,483,True,40,Female,1.6,Silver,Adult,False,True
C010,Dana Dennis,nathanjackson@cabrera-garcia.com,Timor-Leste,2025-04-10,323,True,53,Female,0.0,Silver,Mid-Age,True,True
C011,Robert Walters,martinezjacob@wilson.com,Argentina,2024-11-18,453,False,21,Other,0.4,Silver,Young,True,True
C012,Tyler Lopez,zclark@giles.net,Jamaica,2024-12-12,937,True,23,Other,0.4,Gold,Young,True,True
C013,David Walker,ryan08@yahoo.com,Armenia,2024-11-04,860,False,63,Other,0.5,Gold,Senior,True,True
C014,William Gonzalez,kmassey@gmail.com,Qatar,2025-03-02,640,True,57,Female,0.1,Gold,Mid-Age,True,True
C015,Randall Kramer,matthewking@morse.biz,United Arab Emirates,2024-09-23,847,False,33,Other,0.6,Gold,Adult,False,True
C016,Sylvia Banks,eric07@hotmail.com,Belgium,2023-09-26,333,True,30,Other,1.6,Silver,Adult,False,True
C017,Kimberly Taylor,chelsea59@hotmail.com,Timor-Leste,2024-12-12,227,True,69,Male,0.4,Silver,Senior,True,True
C018,Eric Goodman,wheelerholly@allen.info,Honduras,2025-03-04,822,False,23,Male,0.1,Gold,Young,True,True
C019,Jennifer Morales,martincaleb@hotmail.com,Cayman Islands,2024-03-16,327,False,24,Female,1.1,Silver,Young,False,True
C020,Katelyn Hoffman,simpsonlarry@williams-carson.biz,Comoros,2024-08-22,564,False,63,Male,0.7,Silver,Senior,False,True
C021,Miss Angela Swanson DVM,nstewart@gmail.com,Saint Barthelemy,2022-04-26,560,False,70,Other,3.0,Silver,Senior,False,True
C022,Miss Lisa Lee,joshua21@nash-sanders.com,Angola,2023-06-23,208,False,46,Male,1.8,Silver,Mid-Age,False,True
C023,Rebecca Wilson,desireeroth@hotmail.com,Guatemala,2022-10-18,610,False,38,Other,2.5,Gold,Adult,False,True
C024,Diana Smith,eringrant@mays-browning.com,Tanzania,2025-04-16,247,False,29,Male,0.0,Silver,Adult,True,True
C025,Kathleen Schneider,iwatson@gmail.com,Cote d'Ivoire,2023-11-27,841,True,20,Other,1.4,Gold,Young,False,True
C026,Alexa Hernandez,kristine15@hotmail.com,Argentina,2022-06-26,672,False,48,Male,2.8,Gold,Mid-Age,False,True
C027,Chase Silva,ihays@yahoo.com,Brazil,2024-05-04,91,True,27,Male,1.0,Bronze,Adult,False,True
C028,Taylor Parker,richard54@rodriguez-hoffman.info,Lebanon,2023-09-28,862,True,62,Other,1.6,Gold,Senior,False,True
C029,Vanessa Cooper,lyonsronald@yahoo.com,Grenada,2025-03-25,699,False,63,Other,0.1,Gold,Senior,True,True
C030,Tamara Sims,joneschristopher@hotmail.com,Cyprus,2022-07-27,282,True,31,Other,2.7,Silver,Adult,False,True
C031,Brent Hawkins,ymora@hotmail.com,Rwanda,2025-03-13,603,False,55,Female,0.1,Gold,Mid-Age,True,True
C032,Bradley Robinson,ryanhoward@gmail.com,Swaziland,2025-04-17,461,False,60,Other,0.0,Silver,Mid-Age,True,True
C033,Joseph Goodwin,crawfordjonathan@williams.com,Bosnia and Herzegovina,2023-02-24,717,False,23,Female,2.2,Gold,Young,False,True
C034,Isaiah Wilcox,zhernandez@frazier.com,Syrian Arab Republic,2024-06-05,627,True,49,Other,0.9,Gold,Mid-Age,False,True
C035,Miss Shelly Daniels DVM,janice55@warren.org,Slovenia,2022-12-21,645,False,30,Male,2.3,Gold,Adult,False,True
C036,Lauren Robbins,marshzachary@gmail.com,Bahrain,2023-04-07,16,False,25,Other,2.0,Bronze,Young,False,True
C037,Eric Blake,michelle27@yahoo.com,Macedonia,2023-12-07,225,False,68,Male,1.4,Silver,Senior,False,True
C038,Kathryn Berry,nbullock@nichols-george.info,Tanzania,2023-12-17,340,False,70,Male,1.4,Silver,Senior,False,True
C039,Cynthia Hancock,yangkevin@scott.com,Sierra Leone,2024-01-16,103,True,62,Male,1.3,Bronze,Senior,False,True
C040,James Martin,justingreer@mcmahon.biz,Cambodia,2024-05-26,46,True,19,Male,0.9,Bronze,Young,False,True
C041,Lindsay Miller,robert97@ellis-garcia.com,Angola,2022-06-12,650,True,56,Other,2.9,Gold,Mid-Age,False,True
C042,Brandi Nguyen,patrickfrank@yahoo.com,Bouvet Island (Bouvetoya),2022-07-25,122,False,23,Female,2.7,Bronze,Young,False,True
C043,Julie Chen,montesjennifer@yahoo.com,Solomon Islands,2022-11-06,853,True,20,Other,2.5,Gold,Young,False,True
C044,Jasmine Carter,benjaminmyers@sherman-gibson.com,Zimbabwe,2022-07-01,22,True,29,Other,2.8,Bronze,Adult,False,True
C045,Amanda Scott,jerryfrank@chan.com,Yemen,2022-10-16,126,False,31,Other,2.5,Bronze,Adult,False,True
C046,Steven Henderson,perrycory@navarro.info,Jersey,2025-03-24,819,True,61,Male,0.1,Gold,Senior,True,True
C047,Jonathan Shields,christian11@yahoo.com,Puerto Rico,2022-06-07,557,False,57,Male,2.9,Silver,Mid-Age,False,True
